videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
video1,Baiknya bagaimana menurut kalian?,Baiknya bagaimana menurut kalian?,"dr. Richard Lee, MARS",https://yt3.ggpht.com/ytc/AL5GRJVsyV8johIkR8ZIwMcbZpOh0FZXetc532M05o-odA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCMgMzUVQjzkEqHmJmuXR0Hw,{'value': 'UCMgMzUVQjzkEqHmJmuXR0Hw'},True,none,428,2022-10-21T11:14:34Z,2022-10-21T11:14:34Z,,UgxxMfyEs8p9QKFp-nZ4AaABAg
video1,Betul dok betul  dok,Betul dok betul  dok,Sri Lestari,https://yt3.ggpht.com/ytc/AL5GRJVvEStECt3rwMjI_OX8qA1zqzPVg0l4LDCRVw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvNy9mPPeEoReFLzd4A0iWQ,{'value': 'UCvNy9mPPeEoReFLzd4A0iWQ'},True,none,0,2023-03-20T23:56:33Z,2023-03-20T23:56:33Z,,UgxbHv_nznpmjiu3eZR4AaABAg
video1,Betul dok mungkin efek sa di,Betul dok mungkin efek sa di,Sri Lestari,https://yt3.ggpht.com/ytc/AL5GRJVvEStECt3rwMjI_OX8qA1zqzPVg0l4LDCRVw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvNy9mPPeEoReFLzd4A0iWQ,{'value': 'UCvNy9mPPeEoReFLzd4A0iWQ'},True,none,0,2023-03-20T23:31:32Z,2023-03-20T23:31:32Z,,UgzbeyPlGYzilX0MLaR4AaABAg
video1,"Bpom aneh, tidak kerja. Kenapa ko seperti itu.","Bpom aneh, tidak kerja. Kenapa ko seperti itu.",Canliwmarang Marang,https://yt3.ggpht.com/ytc/AL5GRJVkYdevq5Pot_-zM5e0h419cCF-vBzzc0ghXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3dR3sO99n3P8UksFr-NHMQ,{'value': 'UC3dR3sO99n3P8UksFr-NHMQ'},True,none,0,2023-03-08T22:14:23Z,2023-03-08T22:14:23Z,,UgxmYRPRwYLEInorTIZ4AaABAg
video1,Benar banget anak sy aj hrs sirup minum obatnya dr pd tablet,Benar banget anak sy aj hrs sirup minum obatnya dr pd tablet,Citra Lia,https://yt3.ggpht.com/ytc/AL5GRJWrdTmL16NKJ0ednkRgBb9CKVDbeD-fB1Js7Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCO_5xbHx4mHjJedjz9iiqUQ,{'value': 'UCO_5xbHx4mHjJedjz9iiqUQ'},True,none,0,2023-03-08T00:29:54Z,2023-03-08T00:29:54Z,,UgxQL8hr2QMy9Lq31yZ4AaABAg
video1,Makasih ilmunya dokter semoga berkah🥰🥰🥰🥰,Makasih ilmunya dokter semoga berkah🥰🥰🥰🥰,BUDI DARMAWAN,https://yt3.ggpht.com/ytc/AL5GRJViQAhPzpoSqdeIQmAUIe-dC6qDPyylJId6YG4I3A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoLzi9qxAggQmi2-JlCV6iQ,{'value': 'UCoLzi9qxAggQmi2-JlCV6iQ'},True,none,0,2023-02-17T15:20:01Z,2023-02-17T15:20:01Z,,UgztpfSpVY0SHwHT0hN4AaABAg
video1,Dok tempra gimana? Soalnya anakku kalau demam di kasih tempra,Dok tempra gimana? Soalnya anakku kalau demam di kasih tempra,raffa Kenzie,https://yt3.ggpht.com/ytc/AL5GRJXEOIA5mPTDUOOQiSRMdjvSJGeg1Uq0j-jrCfFG-A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgADOWNgArWzRo4X0F2z8eA,{'value': 'UCgADOWNgArWzRo4X0F2z8eA'},True,none,0,2023-02-15T04:58:50Z,2023-02-15T04:58:50Z,,UgzlamouDSrXeSVAhgd4AaABAg
video1,BIOSOLFON KIDS AMAN GAK KAK,BIOSOLFON KIDS AMAN GAK KAK,A'zhar F,https://yt3.ggpht.com/ytc/AL5GRJXt6p14OwmSfYeh0zxbcIYbmEJGtBxM81fl24qCNA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCXeWXQuv_kT2wxEyTfszWMg,{'value': 'UCXeWXQuv_kT2wxEyTfszWMg'},True,none,0,2023-02-13T11:13:58Z,2023-02-13T11:13:58Z,,Ugwl-gwTTsW1kGGVbQh4AaABAg
video1,apa kurang ilmu ya dok,apa kurang ilmu ya dok,Bandi Bandi,https://yt3.ggpht.com/ytc/AL5GRJXS05SXmsOq3u_AV8-2T6teIPNKgU6BxTteu7Pz3D9GwQnCeB0M-jZye-5HoAv9=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCozm9mV81BTZocheQTweeaQ,{'value': 'UCozm9mV81BTZocheQTweeaQ'},True,none,0,2023-02-08T12:10:35Z,2023-02-08T12:10:35Z,,UgwBTd3Rl1mVINeIcB54AaABAg
video1,"Cara media massa cari uang.... Memainkan keresahan, kebingungan, kekacauan....<br>Sengajakah, atau kah tehnik kalimat bersayap?","Cara media massa cari uang.... Memainkan keresahan, kebingungan, kekacauan....
Sengajakah, atau kah tehnik kalimat bersayap?",Ar Dian,https://yt3.ggpht.com/ytc/AL5GRJWeJVSNtpX06xkgf1kUH_BQmYiN3jYaFLTNOuvKSw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCa3TjbmACOsyR6pE9Puj55w,{'value': 'UCa3TjbmACOsyR6pE9Puj55w'},True,none,0,2023-02-06T15:11:48Z,2023-02-06T15:11:48Z,,UgwmxI7sYnUbw9dHaEt4AaABAg
