video_id,raw,text
video2,Dr pure aman gak dok?,dari pure aman enggak dok
video2,Dok aku ingin mnjual sluruh organ tubuh. Untuk membayar hutang²dok 🙏,dok aku menjual sluruh organ tubuh bayar hutang dok
video2,"Mungkin penyebab nya bukan hanya obat, soalnya kan banyak bngt jajanan anak"" d pasaran yg aneh"", ciki permen minuman dll, bahkan aku suka cek bpom nya bnyak yg tak terdaftar",mungkin nya bukan obat soal kan banyak banget jajan anak di pasar yang aneh cik permen minum bahkan aku suka cek bpom nya banyak yang tidak daftar
video2,Bru mulai mengikuti chanel dokter. Sudah love love..mantap dok,baru mulai ikut chanel dokter love love mantap dok
video2,Btul kata dokter 👍🏻👍🏻👍🏻👍🏻👍🏻,betul kata dokter
video2,"Kalo menurut hemat sy pribadi, gagal ginjal kemungkinan besar akibat dari minuman2 kekinian yang mengandung pewarna, pemanis buatan dan zat zat kimia tertentu yang dikemas semenarik mungkin sehingga anak anak atau bahkan orang dewasa tertarik,saya gak bilang merk ,tapi jelas banget anak anak suka jajan minuman minuman berwarna,minuman serbuk yang enak,manis tapi gak jelas kandungan nya.Sudah pasti yang nama nya jenis minuman/cairan yang masuk dalam tubuh erat hubungan nya dengan  ginjal.maaf KL ada yg tidak sefaham.",kalau turut hemat aku pribadi gagal ginjal mungkin besar akibat minum kini kandung warna man buat zat zat kimia kemas tarik mungkin anak anak bahkan orang dewasa tarik enggak bilang merk jelas banget anak anak suka jajan minum minum warna minum serbuk enak manis enggak jelas kandung nya pasti nama nya jenis minum cair yang masuk tubuh erat hubung nya ginjal maaf kalo yang sefaham
video2,ngebantu banget ya vidio2 nya pak dokter,membantu banget vidio nya pak dokter
video2,dimana bpom selama ini apakah mereka tidur doang seharusnya pekerjaanya,mana bpom lama apakah tidur saja pekerjaanya
video2,Antasida doen sy  konsumsi malah resep  bidan wktu sy hamil😄,antasida doen aku konsumsi bahkan resep bidan waktu aku hamil
video2,"Pantesan ga di jual lg obat batuk, di ban ternyata
Susah nyari nya pas kena batuk"" sampe tenggorokan bengkak kalo gada obat batuk 😤
Jd minum apa kalo di ban semua
Minum obat sakit kepala gtu ya 😏",pantesan enggak jual lagi obat batuk ban nyata susah mencari nya pas kena batuk sampai tenggorok bengkak kalau enggak ada obat batuk jadi minum apa kalau ban semua minum obat sakit kepala begitu
video2,kalo skincare animate aman ga dok,kalau skincare animate aman enggak dok
video2,"Duh bapak pemerintah, kemenkes , bpom anda meresahkan, padahal sebelum adanya kasus ini obat"" Itu sudah beredar dan dikonsumsi masyarakat indo",aduh bapak perintah kemenkes bpom resah padahal ada kasus obat sudah edar konsumsi masyarakat indonesia
video2,"Anakku alhamdulillah dok pernah konsumsi antasida doen itu gak masalah bahkan udh habis 1btol krna skit kmarin ,knpa jd kedaftar gak boleh diminum,, agak mencurigakan meresahkan emak""  +62",anak alhamdulillah dok pernah konsumsi antasida doen enggak masalah bahkan sudah habis btol karena sakit kemarin kenapa jadi daftar enggak minum curiga resah emak
video2,"Menurut saya bang,,, kemungkinan pajaknya kurang bang ... Ma'af . Obat ini sejak kapan kena virus,, kok bisa..",turut bang mungkin pajak kurang bang sama af obat sejak kapan kena virus kok
video2,+62 gitu sih.. TBHQ yang katanya carsinogenic aja masih d pake d minyak mie2 lokal 😅,begitu sih tbhq kata carsinogenic saja di pakai di minyak mie lokal
video2,"hati2 juga kalau problemnya permanis buatan.jajanan juga banyak yang memakai pemanis buatan tidak hanya obat sirup aja. 
hati2 juga untuk para ibu dan para ayah bila beli jajanan di Warung harap di beriksa dlu sebelum di konsumsi takutnya kaya anakku bli snack momogi tanpa di lihat dlu memesannya eh pas udah makan 1 pcs baru ngeh ternyata ada peringatan untuk anak di bawah umur 5 thn ibu menyusui dan hamil tidak boleh mengonsumsi.",hati kalau masalah man buat jajan banyak pakai man buat hanya obat sirup saja hati ibu para ayah bila beli jajan warung harap beriksa dulu konsumsi takut kayak anak beli snack momogi di lihat dulu mes eh pas sudah makan pcs baru engah nyata ingat untuk anak di bawah umur tahun ibu susu hamil boleh konsumsi
video2,sirup marjan masuk nggak,sirup marjan masuk
